abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_tank_volume,fuel_type,generation,kerb_weight,model,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase,hashtags,sentiment
1,Toyota,6,0,2,4,1,2,Avalon V (XX50),4,Avalon,4,10,4,2,1,4,5,4,6,#toyotaavalon|#avalon|#tavalon|#avalonavalon|#toyotaavalonavalon|#tavalonavalon,0.516666667
1,Toyota,6,9,0,5,1,0,Avanza II,1,Avanza,4,4,4,6,1,1,7,1,3,#toyotaavanza|#avanza|#tavanza|#avanzaavanza|#toyotaavanzaavanza|#tavanzaavanza,0.175
1,Toyota,0,2,4,5,4,1,Avensis III Wagon (facelift 2011),3,Avensis,4,6,4,1,1,3,5,4,4,#toyotaavensis|#avensis|#tavensis|#avensisavensis|#toyotaavensisavensis|#tavensisavensis,0
1,Toyota,3,1,0,5,0,0,Aygo (Facelift 2009),0,Aygo,3,5,4,3,1,0,5,0,0,#toyotaaygo|#aygo|#taygo|#aygoaygo|#toyotaaygoaygo|#taygoaygo,0.310797459
0,Toyota,3,0,0,4,0,0,Belta,1,Belta,4,4,4,3,1,1,5,1,2,#toyotabelta|#belta|#tbelta|#beltabelta|#toyotabeltabelta|#tbeltabelta,0.4
1,Toyota,4,1,6,5,3,0,Blade,1,Blade,6,6,4,2,2,5,5,2,2,#toyotablade|#blade|#tblade|#bladeblade|#toyotabladeblade|#tbladeblade,0.633333333
0,Toyota,2,2,1,5,2,0,Carib,3,Carib,4,6,4,6,1,2,5,1,2,#toyotacarib|#carib|#tcarib|#caribcarib|#toyotacaribcarib|#tcaribcarib,0.081818182
1,Toyota,3,0,5,4,4,0,"Camry VII (XV50, facelift 2014)",3,Camry,4,6,4,1,1,4,5,2,5,#toyotacamry|#camry|#tcamry|#camrycamry|#toyotacamrycamry|#tcamrycamry,0.150631313
0,Toyota,2,0,4,4,3,0,Carina (T21),1,Carina,4,5,4,4,1,2,5,2,2,#toyotacarina|#carina|#tcarina|#carinacarina|#toyotacarinacarina|#tcarinacarina,0.8
1,UAZ,0,8,3,5,6,0,3163 Patriot,6,3163 Patriot,4,5,4,1,1,2,5,2,5,#uaz3163patriot|#3163patriot|#u3163patriot|#3163patriot3163|#uaz3163patriot3163|#u3163patriot3163,0
0,Toyota,3,12,0,5,1,0,Allex,2,Allex,4,6,4,3,1,1,5,1,2,#toyotaallex|#allex|#tallex|#allexallex|#toyotaallexallex|#tallexallex,0.507142857
1,Toyota,3,5,6,5,4,0,4runner V,0,4runner,6,5,4,1,2,5,5,5,5,#toyota4runner|#4runner|#t4runner|#4runner4runner|#toyota4runner4runner|#t4runner4runner,0.071434584
1,Toyota,2,7,6,5,5,0,Alphard III (facelift 2017),0,Alphard,6,8,4,2,2,5,7,5,2,#toyotaalphard|#alphard|#talphard|#alphardalphard|#toyotaalphardalphard|#talphardalphard,-0.088888889
1,Toyota,0,0,4,4,6,0,Aristo (S14),4,Aristo,6,3,4,4,1,6,5,6,5,#toyotaaristo|#aristo|#taristo|#aristoaristo|#toyotaaristoaristo|#taristoaristo,0.205618687
1,Vanderhall,1,11,0,5,0,0,Venice,0,Venice,4,6,4,2,1,4,2,3,2,#vanderhallvenice|#venice|#vvenice|#venicevenice|#vanderhallvenicevenice|#vvenicevenice,0.3203125
1,Venturi,0,6,5,2,6,0,210 Cabrio,2,210,6,5,2,0,2,4,2,3,0,#venturi210|#210|#v210|#210210|#venturi210210|#v210210,-0.175
1,Venturi,0,3,5,2,4,0,260,2,260,6,5,2,0,2,5,2,6,0,#venturi260|#260|#v260|#260260|#venturi260260|#v260260,0
1,Venturi,0,3,6,2,4,0,300,1,300,6,5,2,0,2,5,2,5,1,#venturi300|#300|#v300|#300300|#venturi300300|#v300300,0.075
1,Trumpchi,5,9,4,5,4,0,GM8,6,GM8,4,6,4,4,1,4,7,4,2,#trumpchigm8|#gm8|#tgm8|#gm8gm8|#trumpchigm8gm8|#tgm8gm8,-0.1875
1,TVR,2,6,6,2,6,0,450,1,450,8,5,2,1,2,6,2,5,0,#tvr450|#450|#t450|#450450|#tvr450450|#t450450,0.35
1,TVR,2,3,4,2,4,0,Cerbera,1,Cerbera,8,5,2,4,2,6,4,6,2,#tvrcerbera|#cerbera|#tcerbera|#cerberacerbera|#tvrcerberacerbera|#tcerberacerbera,0.125
1,TVR,0,11,6,2,3,0,Chimaera,1,Chimaera,8,5,2,1,2,5,2,5,0,#tvrchimaera|#chimaera|#tchimaera|#chimaerachimaera|#tvrchimaerachimaera|#tchimaerachimaera,0.224088542
1,TVR,0,6,6,2,3,0,Griffith,0,Griffith,8,5,2,1,2,5,2,5,0,#tvrgriffith|#griffith|#tgriffith|#griffithgriffith|#tvrgriffithgriffith|#tgriffithgriffith,0.446428571
0,UAZ,0,12,3,5,4,0,3153,6,3153,4,6,2,6,1,1,5,2,2,#uaz3153|#3153|#u3153|#31533153|#uaz31533153|#u31533153,0
1,Vauxhall,0,0,4,4,5,0,Senator B,3,Senator,6,4,2,4,2,3,5,2,5,#vauxhallsenator|#senator|#vsenator|#senatorsenator|#vauxhallsenatorsenator|#vsenatorsenator,0.137037037
0,Vauxhall,0,0,3,4,2,0,Victor FD,1,Victor,4,4,4,0,1,1,4,2,2,#vauxhallvictor|#victor|#vvictor|#victorvictor|#vauxhallvictorvictor|#vvictorvictor,0.45
0,Vauxhall,0,0,3,5,6,0,Viva HC,0,Viva,4,4,4,1,1,1,4,2,1,#vauxhallviva|#viva|#vviva|#vivaviva|#vauxhallvivaviva|#vvivaviva,0.5
0,Vauxhall,3,0,3,4,2,0,VX,1,VX,4,4,4,1,4,2,4,2,4,#vauxhallvx|#vx|#vvx|#vxvx|#vauxhallvxvx|#vvxvx,0.338535354
0,UAZ,0,2,5,5,6,0,3151,4,3151,4,4,2,6,1,1,7,1,0,#uaz3151|#3151|#u3151|#31513151|#uaz31513151|#u31513151,0.227693603
0,UAZ,0,4,3,4,6,0,23632 Pickup,6,23632 Pickup,4,5,4,1,1,2,5,2,2,#uaz23632pickup|#23632pickup|#u23632pickup|#23632pickup23632|#uaz23632pickup23632|#u23632pickup23632,0
1,Vauxhall,2,2,0,5,1,0,Astra Mk VII Sports Tourer,6,Astra,4,6,4,2,1,3,5,3,3,#vauxhallastra|#astra|#vastra|#astraastra|#vauxhallastraastra|#vastraastra,-0.1953125
1,Vauxhall,0,1,1,3,1,0,Corsa E,4,Corsa,4,6,4,2,1,4,5,2,1,#vauxhallcorsa|#corsa|#vcorsa|#corsacorsa|#vauxhallcorsacorsa|#vcorsacorsa,0.35
0,Vauxhall,1,0,4,4,5,0,Royale,2,Royale,6,4,2,4,2,3,5,3,4,#vauxhallroyale|#royale|#vroyale|#royaleroyale|#vauxhallroyaleroyale|#vroyaleroyale,0.019893743
1,Volkswagen,6,7,4,5,4,0,Sharan II (facelift 2015),0,Sharan,4,6,4,4,1,4,5,4,6,#volkswagensharan|#sharan|#vsharan|#sharansharan|#volkswagensharansharan|#vsharansharan,0.333333333
